year,state,state_po,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Winner
2012,WISCONSIN,WI,MARQUETTE,15366.0,47.2,44879.0,23004.0,13.673044383704282,Democrat
2012,WISCONSIN,WI,MARINETTE,41704.0,45.8,41533.0,23689.0,12.682236715902551,Republican
2012,WISCONSIN,WI,MILWAUKEE,946584.0,33.7,43599.0,24254.0,20.396499412624763,Democrat
2012,WISCONSIN,WI,RACINE,195024.0,39.0,54900.0,27292.0,12.250799901550579,Democrat
2012,WISCONSIN,WI,DUNN,43788.0,33.6,47847.0,22242.0,15.040650406504065,Democrat
2012,WISCONSIN,WI,FOREST,9361.0,44.0,40215.0,20684.0,15.564576434141651,Democrat
2012,WISCONSIN,WI,GRANT,51055.0,36.5,46138.0,21391.0,14.378611301537557,Democrat
2012,WISCONSIN,WI,RUSK,14670.0,46.1,38629.0,21292.0,17.246080436264485,Republican
2012,WISCONSIN,WI,SHEBOYGAN,115377.0,40.2,52967.0,25793.0,8.498227549684946,Republican
2012,WISCONSIN,WI,MENOMINEE,4274.0,32.6,37644.0,14479.0,22.882545624707532,Democrat
2012,WISCONSIN,WI,OUTAGAMIE,176777.0,37.3,57584.0,28185.0,8.48356969515265,Republican
2012,WISCONSIN,WI,BUFFALO,13544.0,44.0,47119.0,23913.0,11.200531600708802,Democrat
2012,WISCONSIN,WI,COLUMBIA,56596.0,41.3,57869.0,28017.0,8.749734963601668,Democrat
2012,WISCONSIN,WI,LA CROSSE,114718.0,35.3,50771.0,25978.0,13.119998605275546,Democrat
2012,WISCONSIN,WI,BROWN,248526.0,36.2,53419.0,27862.0,10.599695806474976,Republican
2012,WISCONSIN,WI,MARATHON,134041.0,39.2,53762.0,27173.0,10.215531068852068,Republican
2012,WISCONSIN,WI,ONEIDA,36029.0,48.2,44181.0,26374.0,10.547059313330928,Republican
2012,WISCONSIN,WI,TREMPEALEAU,28853.0,40.9,48624.0,24278.0,11.721484767615152,Democrat
2012,WISCONSIN,WI,WAUKESHA,389740.0,42.2,75689.0,37282.0,4.912249191768872,Republican
2012,WISCONSIN,WI,DODGE,88741.0,40.6,53782.0,24907.0,7.7855782558231255,Republican
2012,WISCONSIN,WI,VILAS,21489.0,50.9,40743.0,26423.0,13.834985341337429,Republican
2012,WISCONSIN,WI,CRAWFORD,16677.0,44.5,41743.0,22331.0,11.746717035438028,Democrat
2012,WISCONSIN,WI,MANITOWOC,81266.0,43.3,50091.0,26138.0,8.933625378387026,Republican
2012,WISCONSIN,WI,SAUK,61953.0,39.9,52355.0,26144.0,9.568543896179362,Democrat
2012,WISCONSIN,WI,BURNETT,15528.0,49.3,39382.0,22887.0,18.308861411643484,Republican
2012,WISCONSIN,WI,CHIPPEWA,62362.0,40.2,50327.0,24768.0,10.605817645360958,Republican
2012,WISCONSIN,WI,DOOR,27872.0,49.6,48707.0,30509.0,11.194029850746269,Democrat
2012,WISCONSIN,WI,FOND DU LAC,101577.0,40.3,53399.0,26331.0,9.321992183269835,Republican
2012,WISCONSIN,WI,JACKSON,20436.0,41.6,43098.0,21526.0,15.272068898023097,Democrat
2012,WISCONSIN,WI,PEPIN,7458.0,43.8,49544.0,24436.0,10.311075355323142,Democrat
2012,WISCONSIN,WI,OZAUKEE,86429.0,43.0,75854.0,42180.0,4.542456814263731,Republican
2012,WISCONSIN,WI,RICHLAND,18020.0,42.9,44821.0,22591.0,10.960044395116537,Democrat
2012,WISCONSIN,WI,ROCK,160356.0,38.3,50316.0,24162.0,13.229314774626456,Democrat
2012,WISCONSIN,WI,WAUSHARA,24565.0,46.3,43582.0,22587.0,11.630368410339914,Republican
2012,WISCONSIN,WI,BAYFIELD,15078.0,49.3,44626.0,25485.0,13.469956227616395,Democrat
2012,WISCONSIN,WI,LAFAYETTE,16836.0,41.0,49263.0,23006.0,11.380375386077453,Democrat
