Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
6098,12666,46.3,61113,30479,1736,13.70598453,2016
6103,1490,33.8,83048,69842,151,10.13422819,2016
6105,19165,34.3,31920,27883,5119,26.71014871,2016
6106,38010,30.2,28529,16532,13128,34.5382794,2016
6107,18855,44.2,117038,59369,871,4.619464333,2016
6108,25272,35.3,46902,22596,4407,17.4382716,2016
6109,26396,45,78371,39368,1338,5.068949841,2016
6110,12110,39.8,64300,34226,1440,11.89099917,2016
6111,30590,44.5,80315,38255,1297,4.239947695,2016
6112,22891,29.4,36145,17151,5673,24.78266568,2016
6114,28131,30,34410,17231,8129,28.89694643,2016
6117,16788,42.3,118773,58737,842,5.015487253,2016
6118,25605,40.8,52729,27992,2767,10.80648311,2016
6119,15921,37.1,80884,45213,1483,9.314741536,2016
6120,14120,28.6,24080,11639,5324,37.70538244,2016
6160,0,-666666666,-666666666,-666666666,0,,2016
6226,19667,26.6,32849,15661,5244,26.66395485,2016
6231,3772,44.2,113922,43805,92,2.43902439,2016
6232,3211,45.3,100724,41514,17,0.529430084,2016
6234,8304,43.1,74327,28951,860,10.35645472,2016
6235,2265,45.1,88031,33790,136,6.004415011,2016
6237,5456,48.9,92981,40835,160,2.93255132,2016
6238,12446,44,88967,41516,393,3.157641009,2016
6239,10868,41.5,52530,27155,1425,13.11188811,2016
6241,6830,40.5,70489,31469,535,7.833089312,2016
6242,1374,42.7,80469,35563,40,2.911208151,2016
6243,0,-666666666,-666666666,-666666666,0,,2016
6247,2772,46.5,74436,33397,97,3.499278499,2016
6248,5808,43.1,108529,45895,95,1.635674931,2016
6249,7259,45,88125,37369,416,5.730816917,2016
6250,4851,39.5,81860,39534,257,5.297876726,2016
6254,1965,48.6,93438,41253,118,6.005089059,2016
6255,4619,41,62398,28532,376,8.140290106,2016
6256,2445,41.1,54057,24737,276,11.28834356,2016
6259,4394,43.8,87244,42517,162,3.686845699,2016
6260,9382,43,52449,27722,901,9.603496056,2016
6262,750,52,57889,31738,64,8.533333333,2016
6263,278,29.5,43427,23996,25,8.992805755,2016
6264,77,66.9,84063,30444,0,0,2016
6266,355,27,56420,27642,22,6.197183099,2016
6268,10800,22.2,51398,27488,1763,16.32407407,2016
6269,10113,20,-666666666,3468,0,0,2016
6277,3911,45.9,76867,37582,253,6.468933777,2016
6278,4405,44.2,77619,36014,388,8.808172531,2016
6279,5927,37,72237,39056,901,15.20161971,2016
6280,3122,49.9,62542,33691,131,4.196028187,2016
6281,6827,47.5,91582,39748,158,2.31434012,2016
6282,1117,48.1,50288,28310,80,7.162041182,2016
6320,27270,30.6,35400,21625,6571,24.09607627,2016
6330,3261,41.5,67083,31261,248,7.605029132,2016
6331,5078,43.3,81496,31856,253,4.982276487,2016
6332,417,33.2,-666666666,35603,0,0,2016
6333,6906,44.7,112500,46287,224,3.243556328,2016
6334,2538,48.1,84138,36836,109,4.294720252,2016
6335,6722,43.9,91152,42483,282,4.195180006,2016
6336,85,34.1,-666666666,38958,0,0,2016
6339,8222,40.3,80725,39415,304,3.697397227,2016
6340,31467,30.9,60649,32228,2683,8.526392729,2016
6350,59,60.6,72604,53541,0,0,2016
6351,16171,38.3,65904,32059,1351,8.354461691,2016
6353,37,-666666666,-666666666,,0,0,2016
6354,6333,43.1,60344,27835,632,9.979472604,2016
6355,12310,51.1,88533,53105,833,6.766856214,2016
6357,12023,48.6,75466,41108,454,3.776095816,2016
6359,5318,46.5,72880,35715,223,4.193305754,2016
6360,37153,37,52275,27919,5923,15.94218502,2016
6365,4716,45.3,69439,33182,367,7.78201866,2016
6370,7418,39.7,90610,36342,540,7.279590186,2016
6371,9668,51.6,87904,51428,218,2.254861398,2016
6373,358,36.8,38869,18726,179,50,2016
6374,7601,43.9,68205,29371,358,4.709906591,2016
6375,3820,44.8,89677,38544,204,5.340314136,2016
6376,263,52.6,-666666666,34630,0,0,2016
6377,2818,40.9,71958,29332,71,2.519517388,2016
6378,5350,52.2,96100,62658,316,5.906542056,2016
6379,9135,43.3,64267,32566,1023,11.19868637,2016
6380,2858,35.5,43084,26590,349,12.2113366,2016
6382,11844,43.4,61044,27154,929,7.843633907,2016
6384,2887,41.6,74310,30892,125,4.32975407,2016
6385,15666,48.7,75702,40784,956,6.102387336,2016
6387,320,27.5,36029,15447,15,4.6875,2016
6389,30,-666666666,-666666666,,0,0,2016
6390,303,51,152652,66379,2,0.660066007,2016
6401,18934,39.1,43336,23909,3896,20.57674026,2016
6403,6075,43.3,84570,37459,311,5.119341564,2016
6405,27901,47.3,71678,44247,1631,5.845668614,2016
6409,547,53,-666666666,38244,31,5.667276051,2016
6410,29189,45.1,108432,45179,639,2.189180856,2016
6412,4290,51.1,76648,43323,201,4.685314685,2016
6413,13055,46.2,73804,39100,1287,9.858291842,2016
6414,113,62.1,94167,41860,0,0,2016
6415,16938,41,98787,41248,749,4.422009682,2016
6416,14049,44.7,83739,43171,714,5.082212257,2016
6417,4552,45.2,69861,42427,216,4.74516696,2016
6418,12771,39,55398,28882,1593,12.47357294,2016
6419,6464,48.2,103295,47236,154,2.382425743,2016
6420,4259,40.6,105000,45626,162,3.803709791,2016
6422,7322,45.1,114491,55752,219,2.990986069,2016
6423,5050,45.6,79318,45826,114,2.257425743,2016
6424,12824,44.7,96146,40641,675,5.263568309,2016
6426,3071,60.8,100536,62673,193,6.284597851,2016
6437,22382,48,102199,55566,929,4.150656778,2016
6438,2656,39,88432,42893,138,5.195783133,2016
6441,5328,47.8,105526,48201,298,5.593093093,2016
6442,2976,47.5,76739,42366,88,2.956989247,2016
6443,18247,47.5,105673,52847,429,2.351071409,2016
6444,214,29.8,-666666666,25608,0,0,2016
