year,state,state_po,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Winner
2012,WISCONSIN,WI,COLUMBIA,56596,41.3,57869,28017,8.749734964,Democrat
2012,WISCONSIN,WI,LA CROSSE,114718,35.3,50771,25978,13.11999861,Democrat
2012,WISCONSIN,WI,BROWN,248526,36.2,53419,27862,10.59969581,Republican
2012,WISCONSIN,WI,MARATHON,134041,39.2,53762,27173,10.21553107,Republican
2012,WISCONSIN,WI,ONEIDA,36029,48.2,44181,26374,10.54705931,Republican
2012,WISCONSIN,WI,TREMPEALEAU,28853,40.9,48624,24278,11.72148477,Democrat
2012,WISCONSIN,WI,WAUKESHA,389740,42.2,75689,37282,4.912249192,Republican
2012,WISCONSIN,WI,DODGE,88741,40.6,53782,24907,7.785578256,Republican
2012,WISCONSIN,WI,VILAS,21489,50.9,40743,26423,13.83498534,Republican
2012,WISCONSIN,WI,CRAWFORD,16677,44.5,41743,22331,11.74671704,Democrat
2012,WISCONSIN,WI,MANITOWOC,81266,43.3,50091,26138,8.933625378,Republican
2012,WISCONSIN,WI,SAUK,61953,39.9,52355,26144,9.568543896,Democrat
2012,WISCONSIN,WI,BURNETT,15528,49.3,39382,22887,18.30886141,Republican
2012,WISCONSIN,WI,CHIPPEWA,62362,40.2,50327,24768,10.60581765,Republican
2012,WISCONSIN,WI,DOOR,27872,49.6,48707,30509,11.19402985,Democrat
2012,WISCONSIN,WI,FOND DU LAC,101577,40.3,53399,26331,9.321992183,Republican
2012,WISCONSIN,WI,JACKSON,20436,41.6,43098,21526,15.2720689,Democrat
2012,WISCONSIN,WI,PEPIN,7458,43.8,49544,24436,10.31107536,Democrat
2012,WISCONSIN,WI,OZAUKEE,86429,43,75854,42180,4.542456814,Republican
2012,WISCONSIN,WI,RICHLAND,18020,42.9,44821,22591,10.9600444,Democrat
2012,WISCONSIN,WI,ROCK,160356,38.3,50316,24162,13.22931477,Democrat
2012,WISCONSIN,WI,WAUSHARA,24565,46.3,43582,22587,11.63036841,Republican
2012,WISCONSIN,WI,BAYFIELD,15078,49.3,44626,25485,13.46995623,Democrat
2012,WISCONSIN,WI,LAFAYETTE,16836,41,49263,23006,11.38037539,Democrat
2012,WISCONSIN,WI,PIERCE,40842,34.6,61153,27644,11.56897312,Republican
2012,WISCONSIN,WI,WOOD,74591,42.5,46999,25779,9.919427277,Republican
2012,WISCONSIN,WI,CALUMET,48960,38.2,64982,28682,5.555555556,Republican
2012,WISCONSIN,WI,FLORENCE,4486,48.5,44652,22128,13.19661168,Republican
2012,WISCONSIN,WI,KENOSHA,166373,36.5,55117,27012,11.8805335,Democrat
2012,WYOMING,WY,LINCOLN,17960,37.5,62542,26459,7.076837416,Republican
2012,WYOMING,WY,JOHNSON,8564,44.9,57175,28972,7.858477347,Republican
2012,WYOMING,WY,LARAMIE,91719,37.3,54596,28736,10.13857543,Republican
2012,WYOMING,WY,CONVERSE,13779,40,62554,30030,8.179113143,Republican
