Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
5862,352,45.5,49286,24884,34,9.659090909,2016
5866,657,43.7,44464,24000,76,11.56773212,2016
5867,836,44.1,49583,23223,94,11.24401914,2016
5868,351,47.1,39327,25497,51,14.52991453,2016
5871,1403,44.4,47644,22489,230,16.39344262,2016
5872,824,50.3,38594,25406,84,10.19417476,2016
5873,740,46.1,56250,27602,29,3.918918919,2016
5874,492,45.1,52614,29896,44,8.943089431,2016
5875,559,47,58611,35926,80,14.31127013,2016
5901,19,67.8,45625,22705,2,10.52631579,2016
5902,232,54,30938,18400,50,21.55172414,2016
5903,990,45.5,46071,22365,173,17.47474747,2016
5904,188,51.2,20515,16172,60,31.91489362,2016
5905,726,57.1,40625,29294,62,8.539944904,2016
5906,1259,48.8,40673,19862,145,11.51707705,2016
5907,143,54.8,47857,25534,12,8.391608392,2016
6001,18617,45.9,122666,67261,479,2.572917226,2016
6002,20687,49.4,74107,40162,1347,6.511335621,2016
6010,60437,41.2,61551,32374,6144,10.16595794,2016
6013,9540,44,117069,49997,159,1.666666667,2016
6016,6732,38.6,83300,37720,470,6.981580511,2016
6018,2689,42.4,73409,31935,124,4.611379695,2016
6019,10289,46.9,87394,49022,300,2.915735251,2016
6020,0,-666666666,-666666666,-666666666,0,,
6021,400,41.1,66071,28319,14,3.5,
6022,30,28.1,-666666666,75267,0,0,
6023,1278,36.6,89044,37334,64,5.007824726,
6024,587,55,82396,38304,33,5.621805792,
6026,5194,44.5,89449,40122,109,2.098575279,
6027,1456,50.9,81563,37919,81,5.563186813,
6029,15733,42.1,79559,42793,508,3.228881968,
6031,1384,51.5,85878,59695,52,3.757225434,
6032,17623,43.8,97803,58109,1121,6.361005504,
6033,28659,44.9,102339,55326,1050,3.663770543,
6035,7956,47.7,99359,50153,236,2.966314731,
6037,19251,47.2,96550,43948,626,3.251779128,
6039,1784,50.3,71442,55128,66,3.69955157,
6040,35616,34.8,61193,31028,5313,14.91745283,
6042,22457,35.6,73054,35917,1619,7.209333393,
6043,4950,46.9,91087,49577,156,3.151515152,
6051,30138,32.3,30955,17160,9279,30.78837348,
6052,8231,38.4,63317,32223,801,9.731502855,
6053,34531,34.4,48942,23963,5971,17.2917089,
6057,6241,44.4,96633,40663,90,1.44207659,
6058,1535,54.3,74946,46748,73,4.755700326,
6059,0,-666666666,-666666666,-666666666,0,,
6060,2326,41.3,131558,45956,38,1.633705933,
6061,98,42.7,-666666666,28130,0,0,
6062,17772,41.4,61907,32839,1381,7.770650461,
6063,3124,45,106957,41935,63,2.016645327,
6065,802,49.1,95139,39458,67,8.354114713,
6066,29206,39.5,61190,35125,2629,9.001575019,
6067,19920,43.8,81988,43921,1422,7.138554217,
6068,1682,57.1,71154,40984,125,7.431629013,
6069,2444,59,82500,64944,249,10.18821604,
6070,14996,46.1,110995,54063,645,4.301146973,
6071,11533,44.4,94897,34983,399,3.459637562,
6073,5975,45.6,153519,72238,239,4,
6074,25793,43.6,100122,46758,761,2.950412903,
6076,12620,41.7,66176,32366,1313,10.40412044,
6078,12370,41.4,97434,41488,756,6.111560226,
6081,1339,40.3,71528,39478,89,6.646751307,
6082,44515,41,71526,31387,3347,7.518813883,
6084,14985,42.3,109157,46447,371,2.475809142,
6085,7551,42.5,94565,43755,415,5.4959608,
6088,4661,46.9,67801,33464,103,2.209826218,
6089,3514,39.2,98594,51058,54,1.536710302,
6090,1077,49.9,143083,57746,65,6.035283194,
6091,152,32.6,-666666666,29626,0,0,
6092,4166,47,139464,61944,34,0.816130581,
6093,3248,45.4,107963,44932,36,1.108374384,
6095,29166,42.8,82464,37102,1653,5.667558116,
6096,12537,44.6,66494,36587,807,6.436946638,
6098,12666,46.3,61113,30479,1736,13.70598453,
6103,1490,33.8,83048,69842,151,10.13422819,
6105,19165,34.3,31920,27883,5119,26.71014871,
6106,38010,30.2,28529,16532,13128,34.5382794,
6107,18855,44.2,117038,59369,871,4.619464333,
6108,25272,35.3,46902,22596,4407,17.4382716,
6109,26396,45,78371,39368,1338,5.068949841,
6110,12110,39.8,64300,34226,1440,11.89099917,
6111,30590,44.5,80315,38255,1297,4.239947695,
6112,22891,29.4,36145,17151,5673,24.78266568,
6114,28131,30,34410,17231,8129,28.89694643,
6117,16788,42.3,118773,58737,842,5.015487253,
6118,25605,40.8,52729,27992,2767,10.80648311,
6119,15921,37.1,80884,45213,1483,9.314741536,
6120,14120,28.6,24080,11639,5324,37.70538244,
6160,0,-666666666,-666666666,-666666666,0,,
6226,19667,26.6,32849,15661,5244,26.66395485,
6231,3772,44.2,113922,43805,92,2.43902439,
6232,3211,45.3,100724,41514,17,0.529430084,
6234,8304,43.1,74327,28951,860,10.35645472,
6235,2265,45.1,88031,33790,136,6.004415011,
6237,5456,48.9,92981,40835,160,2.93255132,
6238,12446,44,88967,41516,393,3.157641009,
6239,10868,41.5,52530,27155,1425,13.11188811,
6241,6830,40.5,70489,31469,535,7.833089312,
6242,1374,42.7,80469,35563,40,2.911208151,
6243,0,-666666666,-666666666,-666666666,0,,
6247,2772,46.5,74436,33397,97,3.499278499,
6248,5808,43.1,108529,45895,95,1.635674931,
6249,7259,45,88125,37369,416,5.730816917,
6250,4851,39.5,81860,39534,257,5.297876726,
6254,1965,48.6,93438,41253,118,6.005089059,
6255,4619,41,62398,28532,376,8.140290106,
6256,2445,41.1,54057,24737,276,11.28834356,
6259,4394,43.8,87244,42517,162,3.686845699,
6260,9382,43,52449,27722,901,9.603496056,
6262,750,52,57889,31738,64,8.533333333,
6263,278,29.5,43427,23996,25,8.992805755,
6264,77,66.9,84063,30444,0,0,
6266,355,27,56420,27642,22,6.197183099,
6268,10800,22.2,51398,27488,1763,16.32407407,
6269,10113,20,-666666666,3468,0,0,
6277,3911,45.9,76867,37582,253,6.468933777,
6278,4405,44.2,77619,36014,388,8.808172531,
6279,5927,37,72237,39056,901,15.20161971,
6280,3122,49.9,62542,33691,131,4.196028187,
6281,6827,47.5,91582,39748,158,2.31434012,
6282,1117,48.1,50288,28310,80,7.162041182,
6320,27270,30.6,35400,21625,6571,24.09607627,
6330,3261,41.5,67083,31261,248,7.605029132,
6331,5078,43.3,81496,31856,253,4.982276487,
6332,417,33.2,-666666666,35603,0,0,
6333,6906,44.7,112500,46287,224,3.243556328,
6334,2538,48.1,84138,36836,109,4.294720252,
6335,6722,43.9,91152,42483,282,4.195180006,
6336,85,34.1,-666666666,38958,0,0,
6339,8222,40.3,80725,39415,304,3.697397227,
6340,31467,30.9,60649,32228,2683,8.526392729,
6350,59,60.6,72604,53541,0,0,
6351,16171,38.3,65904,32059,1351,8.354461691,
6353,37,-666666666,-666666666,,0,0,
6354,6333,43.1,60344,27835,632,9.979472604,
6355,12310,51.1,88533,53105,833,6.766856214,
6357,12023,48.6,75466,41108,454,3.776095816,
6359,5318,46.5,72880,35715,223,4.193305754,
6360,37153,37,52275,27919,5923,15.94218502,
6365,4716,45.3,69439,33182,367,7.78201866,
6370,7418,39.7,90610,36342,540,7.279590186,
6371,9668,51.6,87904,51428,218,2.254861398,
6373,358,36.8,38869,18726,179,50,
6374,7601,43.9,68205,29371,358,4.709906591,
6375,3820,44.8,89677,38544,204,5.340314136,
6376,263,52.6,-666666666,34630,0,0,
6377,2818,40.9,71958,29332,71,2.519517388,
6378,5350,52.2,96100,62658,316,5.906542056,
6379,9135,43.3,64267,32566,1023,11.19868637,
6380,2858,35.5,43084,26590,349,12.2113366,
6382,11844,43.4,61044,27154,929,7.843633907,
6384,2887,41.6,74310,30892,125,4.32975407,
6385,15666,48.7,75702,40784,956,6.102387336,
6387,320,27.5,36029,15447,15,4.6875,
6389,30,-666666666,-666666666,,0,0,
6390,303,51,152652,66379,2,0.660066007,
6401,18934,39.1,43336,23909,3896,20.57674026,
6403,6075,43.3,84570,37459,311,5.119341564,
6405,27901,47.3,71678,44247,1631,5.845668614,
6409,547,53,-666666666,38244,31,5.667276051,
6410,29189,45.1,108432,45179,639,2.189180856,
6412,4290,51.1,76648,43323,201,4.685314685,
6413,13055,46.2,73804,39100,1287,9.858291842,
6414,113,62.1,94167,41860,0,0,
6415,16938,41,98787,41248,749,4.422009682,
6416,14049,44.7,83739,43171,714,5.082212257,
6417,4552,45.2,69861,42427,216,4.74516696,
6418,12771,39,55398,28882,1593,12.47357294,
6419,6464,48.2,103295,47236,154,2.382425743,
6420,4259,40.6,105000,45626,162,3.803709791,
6422,7322,45.1,114491,55752,219,2.990986069,
6423,5050,45.6,79318,45826,114,2.257425743,
6424,12824,44.7,96146,40641,675,5.263568309,
6426,3071,60.8,100536,62673,193,6.284597851,
6437,22382,48,102199,55566,929,4.150656778,
6438,2656,39,88432,42893,138,5.195783133,
6441,5328,47.8,105526,48201,298,5.593093093,
6442,2976,47.5,76739,42366,88,2.956989247,
6443,18247,47.5,105673,52847,429,2.351071409,
6444,214,29.8,-666666666,25608,0,0,
6447,6426,44.2,103276,45136,133,2.069716776,
6450,35907,41.8,58361,31371,4245,11.82220737,
6451,24434,39.9,51926,29502,3200,13.09650487,
6455,3323,49.1,109706,48824,96,2.888955763,
6456,260,57.6,-666666666,70554,43,16.53846154,
6457,46933,36.4,63828,35074,4888,10.4148467,
6460,38233,44.5,80776,41746,2740,7.166583841,
6461,15197,43.5,85417,40954,974,6.409159703,
6467,365,50.5,104750,27165,0,0,
6468,19784,44.1,113333,50195,703,3.553376466,
6469,3132,45,81615,35335,223,7.120051086,
6470,16612,45.1,113158,50837,614,3.696123284,
6471,7733,47.5,84385,46937,202,2.61218156,
6472,6760,45.9,85929,38326,322,4.763313609,
6473,24298,45.2,94344,40784,925,3.806897687,
6475,10174,50.6,75237,45791,511,5.022606644,
6477,13941,45.4,106475,50659,480,3.443081558,
6478,12916,44,99311,39670,430,3.329204088,
601,17800,38.6,11507,7229,11078,62.23595506,
602,39716,40,15511,8570,21615,54.42390976,
603,51565,40,16681,10154,25331,49.12440609,
606,6320,42.4,11648,5631,4047,64.03481013,
610,27976,40.6,17751,8589,13734,49.09207892,
612,63884,40.7,17208,9789,30411,47.60346879,
616,10321,43.9,14490,8662,5152,49.91764364,
617,24648,38.1,15645,8257,12921,52.42210321,
622,7385,45.9,16784,11671,4077,55.20649966,
623,42711,41.2,17134,9515,20978,49.11615275,
624,23945,36,16764,7650,13449,56.16621424,
627,33481,39.1,17206,9271,16173,48.30500881,
631,1689,43.8,7948,6054,1131,66.96269982,
637,24013,40.6,14877,8638,11762,48.98180152,
638,17795,39.4,12486,7114,10824,60.82607474,
641,28925,40.8,16181,8000,14982,51.7960242,
646,38292,38.9,27967,14416,13816,36.08064348,
647,5711,45.9,13312,7500,3370,59.00893013,
650,14569,37.7,15807,7242,8047,55.23371542,
652,3893,39.5,19497,10686,1785,45.85152838,
653,12125,38.4,13175,7070,7877,64.96494845,
656,19996,39.2,14828,7845,11725,58.63672735,
659,41327,39.8,18480,10116,18400,44.5229511,
660,16678,44.6,20589,11432,6013,36.05348363,
662,41986,40,16291,8663,22650,53.94655361,
664,15693,35.8,15749,7218,9284,59.16013509,
667,24492,43.4,12736,7142,14579,59.52555937,
669,27063,40.3,12552,7994,15378,56.82296863,
670,9087,39.4,13209,6901,5238,57.6427864,
674,41545,40.3,18549,10204,19077,45.91888314,
676,38488,37.5,14149,7636,21641,56.22791519,
677,14755,43.7,17881,9472,7068,47.90240596,
678,26490,39.6,15208,8384,14935,56.37976595,
680,50628,40.4,14575,9596,25140,49.65631666,
682,32433,36.5,15804,10820,17138,52.84124194,
683,32058,42.6,15198,9599,15961,49.78788446,
685,40102,41.7,13840,7577,22601,56.3587851,
687,32087,36,17649,8294,16601,51.73746377,
688,12797,40.1,14697,7930,6578,51.4026725,
690,5328,41.1,20668,12086,2138,40.12762763,
692,36700,36.6,18593,10594,17217,46.91280654,
693,57428,39.4,17624,9622,26396,45.96364143,
694,66,70.7,10550,6235,56,84.84848485,
698,38502,41.4,14734,8016,19116,49.64936886,
703,27797,39,15276,9477,14346,51.60988596,
704,8390,32.8,14528,7940,4229,50.40524434,
705,24387,40,17893,9133,11623,47.66063886,
707,11506,42.6,18815,8552,6431,55.89257779,
714,18640,37.9,16538,7699,9820,52.68240343,
715,3692,41.2,12229,6434,2558,69.28494041,
716,29351,41.2,18595,13606,14031,47.8041634,
717,17958,35.6,11597,9079,10567,58.84285555,
718,26460,36.4,18906,9789,13311,50.30612245,
719,30094,37.8,19247,9852,14219,47.24862099,
720,22148,36.7,14845,7159,12672,57.21509843,
723,18135,42.7,13975,8127,10279,56.68045216,
725,83479,39.7,20072,12196,34917,41.8272859,
727,57079,38.2,30890,16147,17293,30.29660646,
728,41245,37.1,18099,9069,19075,46.24803006,
729,52897,38,20805,10656,22421,42.38614666,
730,33899,40.4,15046,10380,18173,53.60925101,
731,14988,39.8,16171,9064,8384,55.9380838,
735,12798,40.5,20204,10609,5611,43.84278794,
736,49841,40.3,20571,12183,21718,43.57456712,
738,32409,39.9,19809,10913,13975,43.12073807,
739,37558,38.2,21818,11314,15486,41.23222749,
740,1503,37.7,14500,7999,891,59.28143713,
741,5042,41,20363,9255,2296,45.53748512,
745,53395,39.5,23344,10758,19488,36.49779942,
751,22110,38.6,16177,8562,12228,55.30529172,
754,39218,39.5,16927,10663,18266,46.57555204,
757,22732,36,15295,9545,11449,50.36512405,
765,8801,43.5,17604,9881,3148,35.76866265,
766,24489,37.1,18670,8706,12406,50.65947977,
767,35734,40.7,16342,8532,17641,49.36754911,
769,39630,38.7,18578,9760,19373,48.88468332,
771,38132,37.6,19982,9829,18161,47.62666527,
772,21096,36.6,15725,7607,11697,55.44653015,
773,19237,39.6,19658,10617,8450,43.92576805,
775,1493,33.2,20221,9914,679,45.47890154,
777,40398,37.2,19249,9467,19651,48.6434972,
778,46990,37.7,31070,16238,15141,32.22174931,
780,11597,39.2,20985,14145,4518,38.9583513,
782,18544,37.6,12752,6882,11249,60.66113028,
783,34702,37.3,14465,7762,19587,56.44343266,
784,41993,36.9,15383,9123,21434,51.04184031,
786,287,65.2,-666666666,14671,46,16.02787456,
791,50515,40.3,19269,11170,22607,44.75304365,
794,29635,34.7,14785,7379,17784,60.01012317,
795,45852,37.1,20459,10003,21734,47.4003315,
901,6541,41.7,16612,26131,2816,43.05152117,
906,76,41.3,-666666666,55538,5,6.578947368,
907,17472,47.5,31836,36291,4561,26.10462454,
909,5563,38.4,16219,12808,2985,53.65809815,
911,7227,48.7,29325,28657,2155,29.8187353,
912,5758,42.6,20663,15395,2289,39.75338659,
913,8333,27.1,6989,8087,6415,76.98307932,
915,28173,38.9,13573,8810,16920,60.05750186,
917,19005,45.3,13913,12866,10293,54.15943173,
918,16400,42,21030,20556,6773,41.29878049,
920,17576,44,25591,14263,5796,32.97678653,
921,36104,37.1,18334,11886,16497,45.69299801,
923,25745,39.8,14631,10920,14130,54.88444358,
924,54062,37.7,18535,11850,25640,47.42702823,
925,6924,31.6,10247,10511,4090,59.06990179,
926,101337,41.4,32583,21693,30283,29.88345816,
927,14229,45.2,32083,25057,3816,26.81846932,
934,67,38.7,66063,51703,0,0,
936,893,52.5,-666666666,8502,0,0,
949,77458,38.4,25226,12656,27562,35.58315474,
950,0,-666666666,-666666666,-666666666,0,,
951,8,-666666666,-666666666,,8,100,
952,9078,41.1,16577,9257,3837,42.26701917,
953,72712,36.6,29793,14042,22188,30.51490813,
956,71602,39.6,22432,11296,27492,38.39557554,
957,42155,38.8,23886,12442,15785,37.44514292,
959,48349,40.2,28215,15518,14437,29.85997642,
960,2429,33.2,-666666666,6539,18,0.741045698,
961,30655,42.1,28203,16501,8895,29.01647366,
962,20509,36.6,15782,9157,11245,54.82958701,
965,7543,39.9,15274,9839,3923,52.00848469,
966,15981,44.2,50570,36079,2893,18.10274701,
968,3293,56.6,46047,43362,354,10.75007592,
969,43372,40.9,53175,27852,7532,17.36604261,
971,28550,42.5,20860,14020,11107,38.90367776,
976,61084,39.3,30027,16207,18363,30.061882,
979,15019,49.6,35251,28053,2613,17.39796258,
982,14874,43,25362,13301,5189,34.88637892,
983,38533,40.4,27612,13459,12301,31.92328653,
985,33320,41,24091,13108,11302,33.91956783,
987,58705,37.6,31758,15522,15396,26.22604548,
1001,17423,45,56714,30430,1462,8.391207025,
1002,29970,23.2,48923,26072,8351,27.8645312,
1003,11296,19.9,2499,3829,54,0.478045326,
1005,5228,44.1,70568,32169,230,4.399387911,
1007,14888,42.5,80502,36359,1410,9.47071467,
1008,1194,48.5,67250,34505,49,4.103852596,
1009,237,62.2,-666666666,26150,105,44.30379747,
1010,3718,46.6,83273,38693,95,2.555137171,
1011,1523,41,74722,29951,110,7.222586999,
1012,528,50.5,60417,34032,60,11.36363636,
1013,22943,35,40876,21677,4233,18.45007192,
1020,30629,44.5,57851,29705,3166,10.3366091,
1022,2528,41.1,44701,26605,644,25.47468354,
1026,1018,51.2,50924,28269,45,4.42043222,
1027,17872,45.1,61217,33598,1774,9.92614145,
1028,16063,46,83003,39282,677,4.214654797,
1029,760,47.9,54375,32415,96,12.63157895,
1030,11278,44.9,64874,32812,1124,9.966306083,
1031,1192,43.2,39327,26153,268,22.48322148,
1032,590,49.3,73750,36045,15,2.542372881,
1033,6310,45.5,86951,39115,290,4.595879556,
1034,2323,46.6,82159,32783,230,9.900990099,
1035,5338,46.3,62634,40287,384,7.193705508,
1036,5190,48.7,80375,38547,256,4.93256262,
1037,755,50.3,80417,33913,86,11.39072848,
1038,2853,50.7,65887,35804,157,5.50297932,
1039,1194,54,74107,43845,78,6.532663317,
1040,40280,34.4,38829,21897,11227,27.87239325,
1050,2343,45.7,72386,29854,221,9.432351686,
1053,1697,49.8,66528,30391,251,14.79080731,
1054,1972,48,86771,45344,84,4.259634888,
1056,21352,44.2,64537,31897,1124,5.264143874,
1057,8773,45.5,74439,33763,496,5.653710247,
1060,15407,35,56128,35487,2258,14.65567599,
1062,10867,43.8,73913,39024,1445,13.29713812,
1063,563,20.3,-666666666,3134,0,0,
1066,12,-666666666,-666666666,,0,0,
1068,1825,45,85052,34288,62,3.397260274,
1069,8753,44,57994,30199,591,6.751970753,
1070,562,52.7,55208,30773,60,10.67615658,
1071,1271,47.9,70938,34924,17,1.337529504,
1072,1542,46.8,75658,36704,187,12.12710765,
1073,6081,48.4,90318,44278,251,4.12761059,
1074,228,35.2,-666666666,16890,0,0,
1075,17770,40.8,61821,30822,1524,8.57625211,
1077,9650,45.7,76576,36861,554,5.740932642,
1079,811,42.8,31778,24201,74,9.124537608,
1080,2452,33.5,51023,23489,773,31.52528548,
1081,1823,43.5,51182,25679,100,5.485463522,
1082,10612,43.2,52178,27773,1434,13.51300415,
1083,3148,36.3,45954,22559,245,7.782719187,
1084,154,61.5,68750,50727,0,0,
1085,41479,39,63283,29597,3679,8.869548446,
1086,690,19.2,-666666666,3293,0,0,
1088,433,53.1,61875,34560,33,7.621247113,
1089,28575,39.1,50649,28438,3733,13.06386702,
1092,1191,46.8,77150,40211,176,14.7774979,
1093,289,54.1,84167,48793,16,5.53633218,
1094,347,53.7,18454,29174,26,7.492795389,
1095,14569,47.6,95679,40989,547,3.754547327,
1096,2564,44.3,73589,33768,224,8.736349454,
1097,78,19.7,31250,9374,42,53.84615385,
1098,1117,50,77083,41124,65,5.81915846,
1103,2430,33.3,16760,21928,1333,54.85596708,
1104,23183,35.2,28590,18983,7215,31.1219428,
1105,11576,30.6,16455,13855,6260,54.07740152,
1106,15983,46.4,105822,52705,640,4.00425452,
1107,11474,29.1,22956,13711,5176,45.11068503,
1108,28449,31.4,36890,18466,8447,29.69172906,
1109,30139,27.4,35076,14977,8147,27.03142108,
1118,14293,38.6,60295,27870,2027,14.1817673,
1119,13091,35.4,49083,22333,1952,14.91100756,
1128,2695,47.6,70078,33845,58,2.152133581,
1129,7220,41.5,60776,27405,1010,13.98891967,
1151,9295,32,36541,16820,2611,28.09037117,
1199,0,-666666666,-666666666,-666666666,0,,
1201,45001,43.4,45893,28433,7152,15.89298016,
1220,8266,45.1,48422,27309,852,10.30728285,
1222,829,49.2,76944,41175,45,5.428226779,
1223,2247,52.2,72981,39324,129,5.740987984,
1224,176,49.9,36324,23039,20,11.36363636,
1225,3192,49,58145,32108,154,4.824561404,
1226,6885,47.2,57202,32405,732,10.63180828,
1229,102,62.8,27083,19587,5,4.901960784,
1230,8195,49.4,59702,35371,439,5.356924954,
1235,2666,47.6,60718,32438,185,6.939234809,
1236,1422,42.3,80385,32117,20,1.406469761,
1237,2755,43.3,83311,31664,123,4.4646098,
1238,5950,48.7,63109,35946,607,10.20168067,
1240,4592,58.3,54250,48764,353,7.68728223,
1242,429,32,56840,25313,3,0.699300699,
1243,381,56.4,76250,46979,26,6.824146982,
1244,82,60.3,-666666666,51809,9,10.97560976,
1245,870,54.7,66136,42633,106,12.18390805,
1247,15725,44.4,38007,23957,2580,16.40699523,
1253,734,51.9,71010,39333,20,2.72479564,
1254,985,58.7,89583,67264,68,6.903553299,
1255,869,50.5,67333,36881,36,4.14269275,
1256,764,47.9,49000,27351,58,7.591623037,
1257,2164,52.6,50688,34538,341,15.75785582,
1258,359,63,65739,45881,29,8.077994429,
1259,556,60.2,61125,56822,40,7.194244604,
1260,545,42.9,101979,26842,26,4.770642202,
1262,1196,54.3,45500,38899,164,13.71237458,
1264,161,61.4,75417,45563,26,16.14906832,
1266,1380,56.6,68542,46857,64,4.637681159,
1267,7846,31.2,73085,30864,584,7.443283202,
1270,814,51.2,71250,38157,70,8.5995086,
1301,17730,42.6,49024,28633,2217,12.50423012,
1330,1468,50.2,79118,40071,81,5.517711172,
1331,13205,43.9,51750,25349,2020,15.2972359,
1337,2598,50.6,65139,33697,188,7.236335643,
1338,138,60.6,66375,25680,5,3.623188406,
1339,1461,49.4,51346,31610,152,10.40383299,
1340,1689,51.9,54063,29598,212,12.5518058,
1341,1716,50.2,89688,44806,48,2.797202797,
1342,1768,47.4,102219,46922,164,9.2760181,
1343,46,59.1,83125,40280,0,0,
1344,1582,41.6,61563,27271,201,12.70543616,
1346,465,50.1,56500,33586,49,10.53763441,
1347,133,38.9,39211,19143,22,16.54135338,
1349,1106,42.1,60493,25594,47,4.24954792,
1350,95,45.5,31750,22175,6,6.315789474,
1351,2312,46.4,81833,39407,190,8.21799308,
1354,1656,44.4,74167,33295,132,7.971014493,
1355,915,51.5,68681,36187,56,6.120218579,
1360,3006,45.7,63963,33157,127,4.224883566,
1364,7832,46.5,37911,22077,1049,13.39376915,
1366,1202,50.5,65774,35322,55,4.575707155,
1367,686,42.2,50357,25178,151,22.01166181,
1368,1363,48.3,67333,28429,138,10.12472487,
1370,3879,51.4,54803,36488,378,9.744779582,
1373,4184,46.8,71174,36138,234,5.592734226,
1375,3673,27.7,53934,34286,645,17.56057718,
1376,5101,43.8,41836,25130,1038,20.34895119,
1378,734,54.8,56985,31262,64,8.719346049,
1379,775,52,44750,29457,126,16.25806452,
1420,40441,34.6,50617,23622,7368,18.21913405,
1430,6171,42.3,86219,35860,375,6.07681089,
1431,3196,45.4,89934,32514,246,7.697121402,
1432,7594,38.8,77462,42565,899,11.83829339,
1434,1716,43,54318,15055,150,8.741258741,
1436,3823,40.8,77083,28266,328,8.57964949,
1438,635,48.4,70028,27062,161,25.35433071,
1440,20334,39.8,46410,24680,3637,17.88629881,
1450,11182,45.1,117500,50656,441,3.943838312,
1451,4629,47.6,140192,64234,201,4.342190538,
1452,4537,44.5,84803,34042,223,4.915142164,
1453,41336,40.8,56577,29527,5604,13.55718986,
1460,9538,45.2,108704,49488,268,2.809813378,
1462,11087,45.7,89706,40771,809,7.29683413,
1463,12031,43.5,84980,37824,589,4.895686144,
1464,7433,43,68864,29748,622,8.368088255,
1467,560,51,131667,47052,84,15,
1468,3704,47.7,62589,37560,201,5.426565875,
1469,7430,39.3,81317,35376,373,5.020188425,
1473,7480,44.7,96953,41812,210,2.807486631,
1474,1939,46.2,98221,50984,52,2.68179474,
1475,10613,42.3,61998,27530,1225,11.54244794,
1501,16239,45.7,71976,35524,717,4.415296508,
1503,3061,47.3,97614,47905,102,3.332244365,
1504,9068,41.1,75544,33253,501,5.524922805,
1505,4480,44.5,93197,47595,151,3.370535714,
1506,3386,41.5,63906,34450,363,10.72061429,
1507,13292,43.7,92227,37512,605,4.551609991,
1510,13759,39.3,60755,30955,1354,9.840831456,
1515,2259,42.2,80714,34639,106,4.692341744,
1516,8689,41.5,88958,35436,268,3.084359535,
1518,3009,43,53664,38091,179,5.948820206,
1519,6548,42.3,114615,47905,273,4.169211973,
1520,14880,41.5,99575,41699,490,3.293010753,
1521,2374,45.1,75658,35363,120,5.054759899,
1522,3380,41.7,102602,42394,248,7.337278107,
1523,7811,38.2,97958,33078,521,6.670080655,
1524,6649,45.1,60288,32164,530,7.971123477,
1525,128,48.6,82361,40023,0,0,
1527,13431,42.8,72566,34857,896,6.671133944,
1529,3218,41.5,91250,34255,225,6.991920447,
1531,1106,48,81389,36314,64,5.786618445,
1532,14846,43.2,110147,46860,465,3.13215681,
1534,6406,44.3,95238,44261,499,7.789572276,
1535,4761,44.1,70873,30530,245,5.145977736,
1536,7557,41.4,94766,41970,651,8.614529575,
1537,2671,33.3,76114,28702,364,13.62785474,
1540,10921,41.2,60852,29422,1046,9.577877484,
1541,3451,45.8,121500,54940,226,6.548826427,
